import time: self [us] | cumulative | imported package
import time:       931 |       3974 |       colorama
import time:       452 |        452 |           executing._utils
import time:       563 |        563 |             executing._exceptions
import time:       712 |       1275 |           executing._position_node_finder
import time:      1066 |       2791 |         executing.executing
import time:       435 |        435 |         executing._pytest_utils
import time:       482 |        482 |         executing.version
import time:       867 |       4575 |       executing
import time:       873 |        873 |       pygments
import time:       957 |        957 |         pygments.formatters._mapping
import time:       825 |        825 |             email
import time:       680 |        680 |                 zipfile._path.glob
import time:      1281 |       1960 |               zipfile._path
import time:      1496 |       3455 |             zipfile
import time:       843 |        843 |             importlib.metadata._meta
import time:       625 |        625 |             importlib.metadata._collections
import time:       436 |        436 |             importlib.metadata._functools
import time:       399 |        399 |             importlib.metadata._itertools
import time:       667 |        667 |             importlib.abc
import time:      2014 |       9261 |           importlib.metadata
import time:       393 |       9653 |         pygments.plugin
import time:       901 |        901 |         pygments.util
import time:      1200 |      12710 |       pygments.formatters
import time:       779 |        779 |             pygments.styles._mapping
import time:       781 |       1559 |           pygments.styles
import time:       410 |       1968 |         pygments.formatter
import time:       421 |        421 |         pygments.console
import time:       818 |        818 |           pygments.token
import time:       600 |       1418 |         pygments.style
import time:       550 |       4356 |       pygments.formatters.terminal256
import time:      2789 |       2789 |         pygments.lexers._mapping
import time:       665 |        665 |         pygments.modeline
import time:       866 |       4319 |       pygments.lexers
import time:       535 |        535 |           pygments.filter
import time:      1071 |       1071 |           pygments.filters
import time:       554 |        554 |           pygments.regexopt
import time:       837 |       2995 |         pygments.lexer
import time:       648 |        648 |         pygments.unistring
import time:      1006 |       4649 |       pygments.lexers.python
import time:       576 |        576 |       icecream.coloring
import time:     21906 |      57932 |     icecream.icecream
import time:       500 |        500 |     icecream.builtins
import time:       595 |        595 |     icecream.__version__
import time:       893 |      59919 |   icecream
import time:       755 |        755 |     loguru._defaults
import time:       620 |        620 |           multiprocessing.process
import time:       618 |        618 |           multiprocessing.reduction
import time:      1075 |       2312 |         multiprocessing.context
import time:       839 |       3151 |       multiprocessing
import time:       965 |        965 |               concurrent
import time:      1219 |       1219 |               concurrent.futures._base
import time:      1047 |       3229 |             concurrent.futures
import time:       447 |        447 |               _ssl
import time:      2067 |       2513 |             ssl
import time:       515 |        515 |             asyncio.constants
import time:       577 |        577 |             asyncio.coroutines
import time:       436 |        436 |               asyncio.format_helpers
import time:       420 |        420 |                 asyncio.base_futures
import time:       470 |        470 |                 asyncio.exceptions
import time:       394 |        394 |                 asyncio.base_tasks
import time:       116 |       1398 |               _asyncio
import time:       777 |       2611 |             asyncio.events
import time:       525 |        525 |             asyncio.futures
import time:       713 |        713 |             asyncio.protocols
import time:       539 |        539 |               asyncio.transports
import time:       395 |        395 |               asyncio.log
import time:       954 |       1887 |             asyncio.sslproto
import time:       413 |        413 |                 asyncio.mixins
import time:       733 |       1145 |               asyncio.locks
import time:       542 |        542 |                 asyncio.queues
import time:       650 |        650 |                 asyncio.timeouts
import time:       721 |       1912 |               asyncio.tasks
import time:       543 |       3599 |             asyncio.staggered
import time:       496 |        496 |             asyncio.trsock
import time:      1490 |      18149 |           asyncio.base_events
import time:       648 |        648 |           asyncio.runners
import time:       621 |        621 |           asyncio.streams
import time:       591 |        591 |           asyncio.subprocess
import time:       496 |        496 |           asyncio.taskgroups
import time:       422 |        422 |           asyncio.threads
import time:       538 |        538 |             asyncio.base_subprocess
import time:       726 |        726 |             asyncio.selector_events
import time:      1066 |       2329 |           asyncio.unix_events
import time:       809 |      24061 |         asyncio
import time:       442 |      24503 |       loguru._asyncio_loop
import time:       458 |        458 |       loguru._colorama
import time:       396 |        396 |       loguru._filters
import time:       570 |        570 |       loguru._better_exceptions
import time:       863 |        863 |       loguru._colorizer
import time:       586 |        586 |       loguru._contextvars
import time:       796 |        796 |       loguru._datetime
import time:       457 |        457 |       loguru._error_interceptor
import time:       490 |        490 |         loguru._string_parsers
import time:       439 |        439 |         loguru._ctime_functions
import time:       633 |       1561 |       loguru._file_sink
import time:       422 |        422 |       loguru._get_frame
import time:       413 |        413 |         loguru._locks_machinery
import time:       541 |        954 |       loguru._handler
import time:       553 |        553 |       loguru._recattrs
import time:       517 |        517 |       loguru._simple_sinks
import time:      3385 |      39165 |     loguru._logger
import time:       987 |        987 |     _sysconfigdata__linux_x86_64-linux-gnu
import time:      5180 |      46085 |   loguru
import time:       659 |        659 |       rich._extension
import time:      1135 |       1794 |     rich
import time:       604 |        604 |     rich.repr
import time:       419 |        419 |     rich._loop
import time:       380 |        380 |     rich._pick
import time:       426 |        426 |     rich.abc
import time:       657 |        657 |         rich._unicode_data._versions
import time:       833 |       1489 |       rich._unicode_data
import time:       918 |       2406 |     rich.cells
import time:       543 |        543 |         rich._wrap
import time:       471 |        471 |                   rich.errors
import time:       492 |        492 |                     colorsys
import time:       864 |        864 |                         rich.color_triplet
import time:       533 |       1396 |                       rich.palette
import time:       465 |       1861 |                     rich._palettes
import time:       599 |        599 |                     rich.terminal_theme
import time:      1253 |       4202 |                   rich.color
import time:       986 |       5658 |                 rich.style
import time:      1227 |       6885 |               rich.segment
import time:       593 |       7477 |             rich.jupyter
import time:       437 |        437 |               rich.protocol
import time:       712 |       1149 |             rich.measure
import time:       464 |       9089 |           rich.constrain
import time:       679 |       9768 |         rich.align
import time:       694 |        694 |         rich.containers
import time:       598 |        598 |         rich.control
import time:       608 |        608 |           rich._emoji_replace
import time:       645 |       1252 |         rich.emoji
import time:      1162 |      14014 |       rich.text
import time:       590 |      14604 |     rich.highlighter
