import time: self [us] | cumulative | imported package
import time:       380 |        380 |             asyncio.protocols
import time:       202 |        202 |               asyncio.transports
import time:        67 |         67 |               asyncio.log
import time:       501 |        770 |             asyncio.sslproto
import time:        75 |         75 |                 asyncio.mixins
import time:       341 |        415 |               asyncio.locks
import time:       194 |        194 |                 asyncio.queues
import time:       325 |        325 |                 asyncio.timeouts
import time:       347 |        866 |               asyncio.tasks
import time:       128 |       1408 |             asyncio.staggered
import time:       119 |        119 |             asyncio.trsock
import time:      1021 |       9680 |           asyncio.base_events
import time:       229 |        229 |           asyncio.runners
import time:       296 |        296 |           asyncio.streams
import time:       169 |        169 |           asyncio.subprocess
import time:       114 |        114 |           asyncio.taskgroups
import time:        61 |         61 |           asyncio.threads
import time:       195 |        195 |             asyncio.base_subprocess
import time:       427 |        427 |             asyncio.selector_events
import time:       742 |       1363 |           asyncio.unix_events
import time:       156 |      12065 |         asyncio
import time:        80 |      12145 |       loguru._asyncio_loop
import time:        99 |         99 |       loguru._colorama
import time:        59 |         59 |       loguru._filters
import time:       250 |        250 |       loguru._better_exceptions
import time:       428 |        428 |       loguru._colorizer
import time:        78 |         78 |       loguru._contextvars
import time:       396 |        396 |       loguru._datetime
import time:        92 |         92 |       loguru._error_interceptor
import time:       110 |        110 |         loguru._string_parsers
import time:        71 |         71 |         loguru._ctime_functions
import time:       268 |        449 |       loguru._file_sink
import time:        59 |         59 |       loguru._get_frame
import time:        66 |         66 |         loguru._locks_machinery
import time:       163 |        228 |       loguru._handler
import time:       215 |        215 |       loguru._recattrs
import time:       143 |        143 |       loguru._simple_sinks
import time:      2938 |      18913 |     loguru._logger
import time:       593 |        593 |     _sysconfigdata__linux_x86_64-linux-gnu
import time:      3973 |      24094 |   loguru
import time:       488 |        488 |       rich._extension
import time:       300 |        787 |     rich
import time:       274 |        274 |     rich.repr
import time:       129 |        129 |     rich._loop
import time:        63 |         63 |     rich._pick
import time:        93 |         93 |     rich.abc
import time:       410 |        410 |         rich._unicode_data._versions
import time:       130 |        540 |       rich._unicode_data
import time:       540 |       1080 |     rich.cells
import time:       165 |        165 |         rich._wrap
import time:       149 |        149 |                   rich.errors
import time:        99 |         99 |                     colorsys
import time:       479 |        479 |                         rich.color_triplet
import time:       142 |        621 |                       rich.palette
import time:        84 |        704 |                     rich._palettes
import time:       165 |        165 |                     rich.terminal_theme
import time:       888 |       1855 |                   rich.color
import time:       510 |       2513 |                 rich.style
import time:       799 |       3311 |               rich.segment
import time:       123 |       3433 |             rich.jupyter
import time:        82 |         82 |               rich.protocol
import time:       294 |        375 |             rich.measure
import time:        96 |       3904 |           rich.constrain
import time:       217 |       4120 |         rich.align
import time:       291 |        291 |         rich.containers
import time:       231 |        231 |         rich.control
import time:       220 |        220 |           rich._emoji_replace
import time:       181 |        400 |         rich.emoji
import time:       844 |       6049 |       rich.text
import time:       260 |       6308 |     rich.highlighter
import time:      1540 |      10270 |   rich.pretty
import time:       358 |        358 |           quopri
import time:       197 |        197 |             email._parseaddr
import time:       358 |        554 |           email.utils
import time:       351 |        351 |           email.errors
import time:       170 |        170 |               email.quoprimime
import time:        80 |         80 |               email.base64mime
import time:        67 |         67 |                 email.encoders
import time:       136 |        203 |               email.charset
import time:       441 |        893 |             email.header
import time:       213 |       1105 |           email._policybase
import time:       194 |        194 |           email._encoded_words
import time:        89 |         89 |           email.iterators
import time:       886 |       3534 |         email.message
import time:       118 |        118 |         importlib.metadata._text
import time:       204 |       3855 |       importlib.metadata._adapters
import time:       450 |        450 |         email.feedparser
import time:       156 |        605 |       email.parser
import time:      5063 |       9523 |     utils4plans
import time:       149 |        149 |       rich._null_file
import time:       225 |        225 |       rich._log_render
import time:       208 |        582 |     rich.logging
import time:       412 |        412 |         rich.default_styles
import time:       191 |        191 |         rich.theme
import time:       109 |        711 |       rich.themes
import time:        73 |         73 |       rich._export_format
import time:        66 |         66 |       rich._fileno
import time:       549 |        549 |       rich.markup
import time:       136 |        136 |       rich.pager
import time:       205 |        205 |       rich.region
import time:       110 |        110 |       rich.screen
import time:        86 |         86 |       rich.styled
import time:      2708 |       4640 |     rich.console
import time:       467 |      15210 |   utils4plans.logs
import time:        91 |         91 |     nvml.cli.studies.modules
import time:       338 |        338 |             plyze.flow_graph
import time:       346 |        683 |           plyze.flow_graph.create
